Country Name,Country Code,2018,2019,2020
Aruba,ABW,105846,106310,106766
Africa Eastern and Southern,AFE,643090131,660046272,677243299
Afghanistan,AFG,37171922,38041757,38928341
Africa Western and Central,AFW,435229381,446911598,458803476
Angola,AGO,30809787,31825299,32866268
Albania,ALB,2866376,2854191,2837743
Andorra,AND,77008,77146,77265
Arab World,ARB,419851989,427870273,436080728
United Arab Emirates,ARE,9630966,9770526,9890400
Argentina,ARG,44494502,44938712,45376763
Armenia,ARM,2951741,2957728,2963234
American Samoa,ASM,55461,55312,55197
Antigua and Barbuda,ATG,96282,97115,97928
Australia,AUS,24982688,25365745,25687041
Austria,AUT,8840521,8879920,8917205
Azerbaijan,AZE,9939771,10024283,10110116
Burundi,BDI,11175379,11530577,11890781
Belgium,BEL,11427054,11488980,11555997
Benin,BEN,11485035,11801151,12123198
Burkina Faso,BFA,19751466,20321383,20903278
Bangladesh,BGD,161376713,163046173,164689383
Bulgaria,BGR,7025037,6975761,6927288
Bahrain,BHR,1569440,1641164,1701583
"Bahamas, The",BHS,385635,389486,393248
Bosnia and Herzegovina,BIH,3323929,3300998,3280815
Belarus,BLR,9483499,9417849,9398861
Belize,BLZ,383071,390351,397621
Bermuda,BMU,63919,63913,63903
Bolivia,BOL,11353140,11513102,11673029
Brazil,BRA,209469320,211049519,212559409
Barbados,BRB,286640,287021,287371
Brunei Darussalam,BRN,428960,433296,437483
Bhutan,BTN,754396,763094,771612
Botswana,BWA,2254067,2303703,2351625
Central African Republic,CAF,4666375,4745179,4829764
Canada,CAN,37065178,37593384,38005238
Central Europe and the Baltics,CEB,102538451,102398537,102246330
Switzerland,CHE,8514329,8575280,8636896
Channel Islands,CHI,170496,172264,173859
Chile,CHL,18729166,18952035,19116209
China,CHN,1392730000,1397715000,1402112000
Cote d'Ivoire,CIV,25069226,25716554,26378275
Cameroon,CMR,25216261,25876387,26545864
"Congo, Dem. Rep.",COD,84068092,86790568,89561404
"Congo, Rep.",COG,5244363,5380504,5518092
Colombia,COL,49661056,50339443,50882884
Comoros,COM,832322,850891,869595
Cabo Verde,CPV,543764,549936,555988
Costa Rica,CRI,4999443,5047561,5094114
Caribbean small states,CSS,7358929,7401389,7442291
Cuba,CUB,11338146,11333484,11326616
Curacao,CUW,159336,157441,155014
Cayman Islands,CYM,64172,64948,65720
Cyprus,CYP,1189262,1198574,1207361
Czech Republic,CZE,10629928,10671870,10698896
Germany,DEU,82905782,83092962,83240525
Djibouti,DJI,958923,973557,988002
Dominica,DMA,71626,71808,71991
Denmark,DNK,5793636,5814422,5831404
Dominican Republic,DOM,10627147,10738957,10847904
Algeria,DZA,42228415,43053054,43851043
East Asia & Pacific (excluding high income),EAP,2081650327,2093675075,2105003391
Early-demographic dividend,EAR,3248413593,3290291029,3332105361
East Asia & Pacific,EAS,2328193462,2340673749,2352037717
Europe & Central Asia (excluding high income),ECA,416931527,418760880,420249459
Europe & Central Asia,ECS,918082509,920809471,923489941
Ecuador,ECU,17084359,17373657,17643060
"Egypt, Arab Rep.",EGY,98423602,100388076,102334403
Euro area,EMU,341979171,342282081,342949773
Eritrea,ERI,,,
Spain,ESP,46797754,47133521,47351567
Estonia,EST,1321977,1326898,1331057
Ethiopia,ETH,109224410,112078727,114963583
European Union,EUU,446915113,447196538,447794691
Fragile and conflict affected situations,FCS,888488369,908739462,930006546
Finland,FIN,5515525,5521606,5530719
Fiji,FJI,883490,889955,896444
France,FRA,67101930,67248926,67391582
Faroe Islands,FRO,48497,48677,48865
"Micronesia, Fed. Sts.",FSM,112640,113811,115021
Gabon,GAB,2119275,2172578,2225728
United Kingdom,GBR,66460344,66836327,67215293
Georgia,GEO,3726549,3720161,3714000
Ghana,GHA,29767108,30417858,31072945
Gibraltar,GIB,33715,33706,33691
Guinea,GIN,12414292,12771246,13132792
"Gambia, The",GMB,2280092,2347696,2416664
Guinea-Bissau,GNB,1874304,1920917,1967998
Equatorial Guinea,GNQ,1308966,1355982,1402985
Greece,GRC,10732882,10721582,10715549
Grenada,GRD,111449,112002,112519
Greenland,GRL,56023,56225,56367
Guatemala,GTM,16346950,16604026,16858333
Guam,GUM,165770,167295,168783
Guyana,GUY,779007,782775,786559
High income,HIC,1205941621,1210795776,1214930230
"Hong Kong SAR, China",HKG,7451000,7507400,7481800
Honduras,HND,9587523,9746115,9904608
Heavily indebted poor countries (HIPC),HPC,780234453,801708019,823480038
Croatia,HRV,4087843,4065253,4047200
Haiti,HTI,11123183,11263079,11402533
Hungary,HUN,9775564,9771141,9749763
IBRD only,IBD,4777365115,4816232592,4853608684
IDA & IBRD total,IBT,6410926655,6486925157,6562212357
IDA total,IDA,1633561540,1670692565,1708603673
IDA blend,IDB,549127807,561571929,574159138
Indonesia,IDN,267670549,270625567,273523621
IDA only,IDX,1084433733,1109120636,1134444535
Isle of Man,IMN,84073,84589,85032
India,IND,1352642283,1366417756,1380004385
Not classified,INX,,,
Ireland,IRL,4867316,4934340,4994724
"Iran, Islamic Rep.",IRN,81800204,82913893,83992953
Iraq,IRQ,38433604,39309789,40222503
Iceland,ISL,352721,360563,366425
Israel,ISR,8882800,9054000,9216900
Italy,ITA,60421760,59729081,59554023
Jamaica,JAM,2934853,2948277,2961161
Jordan,JOR,9965322,10101697,10203140
Japan,JPN,126529100,126264931,125836021
Kazakhstan,KAZ,18276452,18513673,18754440
Kenya,KEN,51392570,52573967,53771300
Kyrgyz Republic,KGZ,6322800,6456200,6591600
Cambodia,KHM,16249795,16486542,16718971
Kiribati,KIR,115842,117608,119446
St. Kitts and Nevis,KNA,52438,52834,53192
"Korea, Rep.",KOR,51606633,51709098,51780579
Kuwait,KWT,4137314,4207077,4270563
Latin America & Caribbean (excluding high income),LAC,583432088,589503742,595242966
Lao PDR,LAO,7061498,7169456,7275556
Lebanon,LBN,6859408,6855709,6825442
Liberia,LBR,4818976,4937374,5057677
Libya,LBY,6678565,6777453,6871287
St. Lucia,LCA,181890,182795,183629
Latin America & Caribbean,LCN,640483586,646430786,652276325
Least developed countries: UN classification,LDC,1009691252,1033388868,1057438163
Low income,LIC,631147232,647870823,665149035
Liechtenstein,LIE,37918,38020,38137
Sri Lanka,LKA,21670000,21803000,21919000
Lower middle income,LMC,3240031866,3285416867,3330652547
Low & middle income,LMY,6357646877,6434033786,6509474374
Lesotho,LSO,2108327,2125267,2142252
Late-demographic dividend,LTE,2287851415,2298495924,2307887395
Lithuania,LTU,2801543,2794137,2794700
Luxembourg,LUX,607950,620001,632275
Latvia,LVA,1927174,1913822,1901548
"Macao SAR, China",MAC,631633,640446,649342
St. Martin (French part),MAF,37264,38002,38659
Morocco,MAR,36029089,36471766,36910558
Monaco,MCO,38682,38967,39244
Moldova,MDA,2708214,2663251,2617820
Madagascar,MDG,26262313,26969306,27691019
Maldives,MDV,515704,530957,540542
Middle East & North Africa,MEA,448974232,456709496,464554123
Mexico,MEX,126190782,127575529,128932753
Marshall Islands,MHL,58412,58791,59194
Middle income,MIC,5726499645,5786162963,5844325339
North Macedonia,MKD,2082957,2083458,2083380
Mali,MLI,19077755,19658023,20250834
Malta,MLT,484630,504062,525285
Myanmar,MMR,53708318,54045422,54409794
Middle East & North Africa (excluding high income),MNA,382955167,389457075,396147843
Montenegro,MNE,622227,622028,621718
Mongolia,MNG,3170214,3225166,3278292
Northern Mariana Islands,MNP,56889,57213,57557
Mozambique,MOZ,29496009,30366043,31255435
Mauritania,MRT,4403312,4525698,4649660
Mauritius,MUS,1265303,1265711,1265740
Malawi,MWI,18143215,18628749,19129955
Malaysia,MYS,31528033,31949789,32365998
North America,NAC,363967296,365987250,367553264
Namibia,NAM,2448300,2494524,2540916
New Caledonia,NCL,270650,271300,271960
Niger,NER,22442831,23310719,24206636
Nigeria,NGA,195874685,200963603,206139587
Nicaragua,NIC,6465502,6545503,6624554
Netherlands,NLD,17231624,17344874,17441139
Norway,NOR,5311916,5347896,5379475
Nepal,NPL,28095712,28608715,29136808
Nauru,NRU,10678,10764,10834
New Zealand,NZL,4900600,4979300,5084300
OECD members,OED,1358019416,1364841892,1370858752
Oman,OMN,4829476,4974992,5106622
Other small states,OSS,30760469,31361259,31941786
Pakistan,PAK,212228288,216565317,220892331
Panama,PAN,4176868,4246440,4314768
Peru,PER,31989265,32510462,32971846
Philippines,PHL,106651394,108116622,109581085
Palau,PLW,17911,18001,18092
Papua New Guinea,PNG,8606324,8776119,8947027
Poland,POL,37974750,37965475,37950802
Pre-demographic dividend,PRE,919485090,944902748,970795671
Puerto Rico,PRI,3193354,3193694,3194034
"Korea, Dem. People's Rep.",PRK,25549606,25666158,25778815
Portugal,PRT,10283822,10286263,10305564
Paraguay,PRY,6956069,7044639,7132530
West Bank and Gaza,PSE,4569087,4685306,4803269
Pacific island small states,PSS,2455336,2491878,2528958
Post-demographic dividend,PST,1109795203,1112707633,1115116448
French Polynesia,PYF,277673,279285,280904
Qatar,QAT,2781682,2832071,2881060
